MATERIA,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,RESULTADO
PLC 00039/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLC 00054/2016,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLC 00080/2015,P-NRV,Sim,P-NRV,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,Aprovado
PLC 00129/2017,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Não,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
PLS 00085/2017,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Aprovado
PLS 00086/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Aprovado
PLS 00212/2017,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Não,P-NRV,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,P-NRV,Não,Sim,Sim,Não,Sim,P-NRV,Não,Aprovado
PLS 00247/2016,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
PLS 00345/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Aprovado
PLS 00405/2016,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Aprovado
PRS 00055/2015,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,P-NRV,Não,Sim,Aprovado
SCD 00007/2016,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Aprovado
SCD 00015/2015,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Aprovado
MPV 00785/2017,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,P-NRV,Rejeitado
OFS 00070/2017,?,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Rejeitado
PLC 00038/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
PLC 00129/2017,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Não,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
MPV 00785/2017,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,P-NRV,Rejeitado
OFS 00070/2017,?,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Rejeitado
PLC 00038/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
PLC 00129/2017,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Não,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
MPV 00785/2017,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,P-NRV,Rejeitado
OFS 00070/2017,?,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Rejeitado
PLC 00038/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
PLC 00129/2017,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Não,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
MPV 00785/2017,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,P-NRV,Rejeitado
OFS 00070/2017,?,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Rejeitado
PLC 00038/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
PLC 00129/2017,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Não,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
MPV 00785/2017,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,P-NRV,Rejeitado
OFS 00070/2017,?,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Rejeitado
PLC 00038/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
PLC 00129/2017,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Não,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
MPV 00785/2017,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,P-NRV,Rejeitado
OFS 00070/2017,?,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Rejeitado
PLC 00038/2017,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,P-NRV,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
PLC 00129/2017,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Não,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,P-NRV,Rejeitado
MPV 00785/2017,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,P-NRV,Rejeitado
